id,price,sale_price,title,link,image_link,brand,description,condition,product_type,availability
210262761,1499.0 RUB,532.0 RUB,"Мыло-пенка для рук и тела SYNERGETIC, 3 шт",https://www.wildberries.ru/catalog/210262761/detail.aspx/?targetUrl=EX,https://basket-14.wbbasket.ru/vol2102/part210262/210262761/images/big/1.webp,SYNERGETIC,"Сочный аромат для бодрого дня. Нежная и густая пена в 2 раза дольше используется, чем аналогичный объём жидкого мыла. Тренд 2025 года",new,Мыло-пенка,in stock
210268436,2999.0 RUB,862.0 RUB,"Мыло-пенка для рук и тела SYNERGETIC, 6 шт",https://www.wildberries.ru/catalog/210268436/detail.aspx/?targetUrl=EX,https://basket-14.wbbasket.ru/vol2102/part210268/210268436/images/big/1.webp,SYNERGETIC,"Сочный аромат для бодрого дня. Нежная и густая пена в 2 раза дольше используется, чем аналогичный объём жидкого мыла. Тренд 2025 года",new,Мыло-пенка,in stock
222849547,1005.0 RUB,366.0 RUB,Набор пенок для мытья посуды SYNERGETIC 2 шт,https://www.wildberries.ru/catalog/222849547/detail.aspx/?targetUrl=EX,https://basket-15.wbbasket.ru/vol2228/part222849/222849547/images/big/1.webp,SYNERGETIC,Бережна к рукам – беспощадна к жиру! В 2 раза больше чистой посуды. Полюби мыть посуду вместе с SYNERGETIC,new,Пенка для посуды,in stock
222849548,1005.0 RUB,511.0 RUB,Набор пенок для мытья посуды SYNERGETIC 2 шт,https://www.wildberries.ru/catalog/222849548/detail.aspx/?targetUrl=EX,https://basket-15.wbbasket.ru/vol2228/part222849/222849548/images/big/1.webp,SYNERGETIC,Бережна к рукам – беспощадна к жиру! В 2 раза больше чистой посуды. Полюби мыть посуду вместе с SYNERGETIC,new,Пенка для посуды,out of stock
222849549,1005.0 RUB,366.0 RUB,Набор пенок для мытья посуды SYNERGETIC 2 шт,https://www.wildberries.ru/catalog/222849549/detail.aspx/?targetUrl=EX,https://basket-15.wbbasket.ru/vol2228/part222849/222849549/images/big/1.webp,SYNERGETIC,Бережна к рукам – беспощадна к жиру! В 2 раза больше чистой посуды. Полюби мыть посуду вместе с SYNERGETIC,new,Пенка для посуды,in stock
222856398,1005.0 RUB,371.0 RUB,Мыло-пенка SYNERGETIC + пенка для посуды SYNERGETIC,https://www.wildberries.ru/catalog/222856398/detail.aspx/?targetUrl=EX,https://basket-15.wbbasket.ru/vol2228/part222856/222856398/images/big/1.webp,SYNERGETIC,Нежная густая пенка для посуды бережна к рукам – беспощадна к жиру! Мыло-пенка используется в 2 раза дольше обычного мыла,new,Мыло-пенка,in stock
222866575,1005.0 RUB,371.0 RUB,Мыло-пенка SYNERGETIC + пенка для посуды SYNERGETIC,https://www.wildberries.ru/catalog/222866575/detail.aspx/?targetUrl=EX,https://basket-15.wbbasket.ru/vol2228/part222866/222866575/images/big/1.webp,SYNERGETIC,Нежная густая пенка для посуды бережна к рукам – беспощадна к жиру! Мыло-пенка используется в 2 раза дольше обычного мыла,new,Мыло-пенка,in stock
222893007,1500.0 RUB,490.0 RUB,Мыло-пенка SYNERGETIC + пенка для посуды SYNERGETIC,https://www.wildberries.ru/catalog/222893007/detail.aspx/?targetUrl=EX,https://basket-15.wbbasket.ru/vol2228/part222893/222893007/images/big/1.webp,SYNERGETIC,Нежная густая пенка для посуды бережна к рукам – беспощадна к жиру! Мыло-пенка используется в 2 раза дольше обычного мыла,new,Мыло-пенка,out of stock
222893008,1500.0 RUB,462.0 RUB,Мыло-пенка SYNERGETIC + пенка для посуды SYNERGETIC,https://www.wildberries.ru/catalog/222893008/detail.aspx/?targetUrl=EX,https://basket-15.wbbasket.ru/vol2228/part222893/222893008/images/big/1.webp,SYNERGETIC,Нежная густая пенка для посуды бережна к рукам – беспощадна к жиру! Мыло-пенка используется в 2 раза дольше обычного мыла,new,Мыло-пенка,in stock
222893009,1500.0 RUB,662.0 RUB,Мыло-пенка SYNERGETIC + пенка для посуды SYNERGETIC,https://www.wildberries.ru/catalog/222893009/detail.aspx/?targetUrl=EX,https://basket-15.wbbasket.ru/vol2228/part222893/222893009/images/big/1.webp,SYNERGETIC,Нежная густая пенка для посуды бережна к рукам – беспощадна к жиру! Мыло-пенка используется в 2 раза дольше обычного мыла,new,Мыло-пенка,out of stock
